judul,url,lpse,metode,satker,tahap,hps,jadwal,page
Supervisi Konstruksi Pembangunan Pengendalian Banjir Sungai Cibanten Kota Serang,https://pengadaan.info/detail/supervisi-konstruksi-pembangunan-pengendalian-banjir-sungai-cibanten-kota-serang,LPSE Kementrian Pekerjaan Umum dan Perumahan Rakyat,-,694201 / SNVT PELAKSANAAN JARINGAN SUMBER AIR CIDANAUCIUJUNGCIDURIAN,Pengumuman Prakualifikasi [...],"Hps Rp 2.000.000.000,00",22 January 2026 14:00:00 s/d 31 March 2026 16:00:00,1
Supervisi Konstruksi Pembangunan Pengendalian Banjir Sungai Cidurian Kabupaten Bogor,https://pengadaan.info/detail/supervisi-konstruksi-pembangunan-pengendalian-banjir-sungai-cidurian-kabupaten-bogor,LPSE Kementrian Pekerjaan Umum dan Perumahan Rakyat,-,694201 / SNVT PELAKSANAAN JARINGAN SUMBER AIR CIDANAUCIUJUNGCIDURIAN,Pengumuman Prakualifikasi [...],"Hps Rp 2.499.996.905,00",22 January 2026 14:00:00 s/d 31 March 2026 16:00:00,1
Supervisi Konstruksi Peningkatan Fungsi Tampungan Bendungan Ladongi untuk mendukung Ketahanan Pangan di Kabupaten Kolaka Timur,https://pengadaan.info/detail/supervisi-konstruksi-peningkatan-fungsi-tampungan-bendungan-ladongi-untuk-mendukung-ketahanan-pangan-di-kabupaten-kolaka-timur,LPSE Kementrian Pekerjaan Umum dan Perumahan Rakyat,-,694143 / SNVT PEMBANGUNAN BENDUNGAN BWS SULAWESI IV,Pengumuman Prakualifikasi [...],"Hps Rp 880.000.000,00",22 January 2026 12:00:00 s/d 27 March 2026 16:00:00,1
PERENCANAAN PENANGANAN BENCANA ALAM JALAN NASIONAL PROVINSI SUMATERA BARAT,https://pengadaan.info/detail/perencanaan-penanganan-bencana-alam-jalan-nasional-provinsi-sumatera-barat,LPSE Kementrian Pekerjaan Umum dan Perumahan Rakyat,-,693839,Pengumuman Prakualifikasi [...],"Hps Rp 2.400.392.000,00",22 January 2026 12:00:00 s/d 31 March 2026 16:00:00,1
Pemutakhiran peta daerah irigasi kewenangan pusat di WS Bali-Penida,https://pengadaan.info/detail/pemutakhiran-peta-daerah-irigasi-kewenangan-pusat-di-ws-bali-penida,LPSE Kementrian Pekerjaan Umum dan Perumahan Rakyat,-,694289,Pengumuman Prakualifikasi [...],"Hps Rp 916.885.000,00",22 January 2026 11:00:00 s/d 31 March 2026 16:00:00,1
Biaya Perencanaan Pembangunan Lanjutan Gedung dan Rumah Genset Kantor Imigrasi Kelas III TPI Putussibau Tahun Anggaran 2026,https://pengadaan.info/detail/biaya-perencanaan-pembangunan-lanjutan-gedung-dan-rumah-genset-kantor-imigrasi-kelas-iii-tpi-putussibau-tahun-anggaran-2026,LPSE Nasional,-,IM16 KANTOR IMIGRASI KELAS III TPI PUTUSSIBAU,Pengumuman Prakualifikasi [...],"Hps Rp 1.036.562.400,00",22 January 2026 09:00:00 s/d 05 March 2026 16:00:00,1
PEMBANGUNAN POSAL MALAKA,https://pengadaan.info/detail/pembangunan-posal-malaka,LPSE TNI Angkatan Laut,-,KODAERAL VII KUPANG TNI AL,Pengumuman Pascakualifikasi [...],"Hps Rp 1.540.270.000,00",22 January 2026 07:00:00 s/d 19 March 2026 23:59:00,1
Pengadaan Jasa Outsourcing,https://pengadaan.info/detail/pengadaan-jasa-outsourcing,LPSE TNI Angkatan Udara,-,SESKOAU TNI AU,Pengumuman Pascakualifikasi,"Hps Rp 2.200.000.000,00",21 January 2026 22:00:00 s/d 09 February 2026 16:00:00,1
Konsultan Perencanaan Pembangunan SPKKL Merauke,https://pengadaan.info/detail/konsultan-perencanaan-pembangunan-spkkl-merauke,LPSE Badan Keamanan Laut,-,BADAN KEAMANAN LAUT,Pengumuman Prakualifikasi [...],"Hps Rp 1.798.440.870,00",21 January 2026 18:00:00 s/d 06 April 2026 23:59:00,1
Pemeliharaan Prasarana Kantor Ditjen Strahan Kemhan,https://pengadaan.info/detail/pemeliharaan-prasarana-kantor-ditjen-strahan-kemhan,LPSE Kementerian Pertahanan Republik Indonesia,-,DITJEN STRAHAN KEMHAN,Pengumuman Pascakualifikasi [...],"Hps Rp 2.998.500.665,39",21 January 2026 18:00:00 s/d 10 April 2026 13:00:00,1
Pengadaan Jasa Outsourcing,https://pengadaan.info/detail/pengadaan-jasa-outsourcing,LPSE TNI Angkatan Udara,-,SESKOAU TNI AU,Pengumuman Pascakualifikasi,"Hps Rp 2.200.000.000,00",21 January 2026 22:00:00 s/d 09 February 2026 16:00:00,2
Konsultan Perencanaan Pembangunan SPKKL Merauke,https://pengadaan.info/detail/konsultan-perencanaan-pembangunan-spkkl-merauke,LPSE Badan Keamanan Laut,-,BADAN KEAMANAN LAUT,Pengumuman Prakualifikasi [...],"Hps Rp 1.798.440.870,00",21 January 2026 18:00:00 s/d 06 April 2026 23:59:00,2
Konsultan Perencanaan Pembangunan SPKKL Supiori,https://pengadaan.info/detail/konsultan-perencanaan-pembangunan-spkkl-supiori,LPSE Badan Keamanan Laut,-,BADAN KEAMANAN LAUT,Pengumuman Prakualifikasi [...],"Hps Rp 1.774.943.280,00",21 January 2026 18:00:00 s/d 06 April 2026 23:59:00,2
Pemeliharaan Prasarana Kantor Ditjen Strahan Kemhan,https://pengadaan.info/detail/pemeliharaan-prasarana-kantor-ditjen-strahan-kemhan,LPSE Kementerian Pertahanan Republik Indonesia,-,DITJEN STRAHAN KEMHAN,Pengumuman Pascakualifikasi [...],"Hps Rp 2.998.500.665,39",21 January 2026 18:00:00 s/d 10 April 2026 13:00:00,2
Pengadaan Jasa Pelaksana Konstruksi Fisik Renovasi Gedung Kantor KPPBC TMP B Pontianak,https://pengadaan.info/detail/pengadaan-jasa-pelaksana-konstruksi-fisik-renovasi-gedung-kantor-kppbc-tmp-b-pontianak,LPSE Kementerian Keuangan,-,KANTOR PENGAWASAN DAN PELAYANAN BC PONTIANAK,Pengumuman Pascakualifikasi [...],"Hps Rp 2.012.468.568,23",21 January 2026 17:00:00 s/d 04 March 2026 16:59:00,2
Perencanaan Pembangunan Barak Bujang POLDA KALTIM,https://pengadaan.info/detail/perencanaan-pembangunan-barak-bujang-polda-kaltim,LPSE Kota Bontang,-,Badan Kesatuan Bangsa dan Politik,Pengumuman Prakualifikasi [...],"Hps Rp 882.767.349,00",21 January 2026 17:00:00 s/d 13 March 2026 16:00:00,2
PENGADAAN JASA KONSULTANSI KONSTRUKSI PERENCANA RENOVASI RUMAH NEGARA DAN GEDUNG PERTEMUAN PASAR MINGGU KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI TAHUN ANGGARAN 2026 Seleksi Ulang,https://pengadaan.info/detail/pengadaan-jasa-konsultansi-konstruksi-perencana-renovasi-rumah-negara-dan-gedung-pertemuan-pasar-minggu-kantor-pusat-direktorat-jenderal-bea-dan-cukai-tahun-anggaran-2026-seleksi-ulang,LPSE Kementerian Keuangan,-,KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI,Pengumuman Prakualifikasi [...],"Hps Rp 334.427.864,00",21 January 2026 17:00:00 s/d 27 February 2026 23:59:00,2
Perencanaan Kolam Renang Rano Wangun Sario Manado,https://pengadaan.info/detail/perencanaan-kolam-renang-rano-wangun-sario-manado,LPSE Provinsi Sulawesi Utara,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Prakualifikasi [...],"Hps Rp 200.000.000,00",21 January 2026 16:30:00 s/d 04 March 2026 17:00:00,2
